driverId,position,fastestLapTime,year,round,name,datetime
830,1,01:35.6,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
844,2,01:35.7,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
815,3,01:35.9,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
839,4,01:36.6,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
840,5,01:36.6,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
832,6,01:36.0,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
1,7,01:35.7,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
847,8,01:36.1,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
4,9,01:36.6,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
857,10,01:35.5,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
842,11,01:36.9,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
848,12,01:37.4,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
825,13,01:37.5,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
817,14,01:37.1,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
855,15,01:37.4,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
858,16,01:37.7,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
822,17,01:37.6,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
852,18,01:37.6,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
807,19,01:37.6,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
846,,01:59.3,2023,21,Las Vegas Grand Prix,2023-11-19T06:00:00.000
830,1,01:13.4,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
846,2,01:12.5,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
4,3,01:14.4,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
815,4,01:14.1,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
840,5,01:14.0,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
832,6,01:14.4,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
842,7,01:14.5,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
1,8,01:14.7,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
852,9,01:14.2,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
839,10,01:14.2,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
858,11,01:15.7,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
807,12,01:15.0,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
817,13,01:13.9,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
857,14,01:14.3,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
847,,01:14.9,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
822,,01:15.7,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
855,,01:16.2,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
825,,,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
848,,,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
844,,,2023,20,São Paulo Grand Prix,2023-11-05T17:00:00.000
830,1,01:21.6,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
1,2,01:21.3,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
844,3,01:22.3,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
832,4,01:22.5,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
846,5,01:21.9,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
847,6,01:22.8,2023,19,Mexico City Grand Prix,2023-10-29T20:00:00.000
